feature,coefficient,abs_coefficient
"cat__display_name_323, Maple Street, Hamlet, Woonsocket, Providence County, Rhode Island, 02895, United States",-4.3325680091045005,4.3325680091045005
"cat__display_name_92, Suffolk Avenue, Pawtucket, Providence County, Rhode Island, 02861, United States",-4.324294170920945,4.324294170920945
"cat__display_name_19, Valley Road, Middletown, Newport County, Rhode Island, 02842, United States",-4.32212416378979,4.32212416378979
"cat__display_name_128, Pond Street, Pawtucket, Providence County, Rhode Island, 02860, United States",-4.174414547806903,4.174414547806903
"cat__display_name_2, Wildwood Road, Pettaquamscutt Lake Shores, Narragansett, South County, Rhode Island, 02882, United States",-4.169816777912539,4.169816777912539
"cat__display_name_22, Cedar Swamp Road, Greenville, Smithfield, Providence County, Rhode Island, 02917, United States",4.167406087349664,4.167406087349664
"cat__display_name_11, West Drive, Providence, Providence County, Rhode Island, 02904, United States",-4.120210757565159,4.120210757565159
"cat__display_name_624, Main Street, Warren, Bristol County, Rhode Island, 02885, United States",-4.100263439684553,4.100263439684553
"cat__display_name_45, Belcourt Avenue, Fruit Hill, North Providence, Providence County, Rhode Island, 02911, United States",-4.064804607319651,4.064804607319651
"cat__display_name_425, East Avenue, Harrisville, Burrillville, Providence County, Rhode Island, 01506, United States",-4.048451673253586,4.048451673253586
"cat__display_name_191, County Road, Barrington, Bristol County, Rhode Island, 02806, United States",-4.045869080304665,4.045869080304665
"cat__display_name_208, Concord Avenue, Cranston, Providence County, Rhode Island, 02910, United States",-3.9940518534753617,3.9940518534753617
"cat__display_name_11, Breakneck Hill Road, Lincoln, Providence County, Rhode Island, 02865, United States",-3.9914922811550393,3.9914922811550393
"cat__display_name_814, Harris Avenue, Woonsocket, Providence County, Rhode Island, 02895, United States",-3.9910839599983228,3.9910839599983228
"cat__display_name_Ponaganset High School, 137, Anan Wade Road, Glocester, Providence County, Rhode Island, 02857, United States",-3.898827026433951,3.898827026433951
"cat__display_name_113, Clinton Street, Social, Woonsocket, Providence County, Rhode Island, 02895, United States",-3.854911989745448,3.854911989745448
"cat__display_name_670, Weeden Street, Fairlawn, Pawtucket, Providence County, Rhode Island, 02860, United States",3.841592328308025,3.841592328308025
"cat__display_name_1440, Mineral Spring Avenue, Marieville, North Providence, Providence County, Rhode Island, 02904, United States",3.8132859164090998,3.8132859164090998
cat__driver_Eric,3.805637552877326,3.805637552877326
"cat__display_name_21, Birch Swamp Road, Warren, Bristol County, Rhode Island, 02885, United States",-3.7872533638035883,3.7872533638035883
"cat__display_name_Lincoln Middle School, 152, Jenckes Hill Road, Lincoln, Providence County, Rhode Island, 02865, United States",-3.785939024108303,3.785939024108303
"cat__display_name_99, Touisset Road, Warren, Bristol County, Rhode Island, 02885, United States",-3.7748574502006984,3.7748574502006984
"cat__display_name_165, New Meadow Road, Barrington, Bristol County, Rhode Island, 02806, United States",-3.7342634551895024,3.7342634551895024
"cat__display_name_4150, Old Post Road, Fort Ninigret, Charlestown, South County, Rhode Island, 02813, United States",3.7280438417983848,3.7280438417983848
